neighborhood,spot_name,spot_name_kr,category,lat,lng,description,google_rating,price_range,must_visit
Hongdae,Hongdae Street,홍대 거리,landmark,37.5563,126.9236,"The main street buzzing with street performers, indie shops, and nightlife venues",4.2,$$,TRUE
Hongdae,Hongdae Free Market,홍대 자유시장,market,37.5579,126.9255,"Weekend market with local artists selling handmade crafts and vintage items",4.5,$,TRUE
Hongdae,Club FF,클럽 FF,nightlife,37.5580,126.9228,"Iconic underground club famous for indie and electronic music",4.0,$$$,FALSE
Hongdae,Cafe Bora,카페 보라,cafe,37.5553,126.9230,"Famous for its purple taro latte and aesthetic interior",4.3,$$,TRUE
Hongdae,Gyeongui Line Forest Park,경의선 숲길,park,37.5600,126.9260,"Linear park converted from old railway — perfect for evening walks",4.6,$,TRUE
Seongsu,Anthracite Coffee,앤트러사이트,cafe,37.5448,127.0559,"Artisan coffee in a converted former shoe factory — industrial-chic icon",4.5,$$,TRUE
Seongsu,Daelim Warehouse,대림창고,cafe,37.5430,127.0545,"The original Seongsu gallery-cafe in a converted cold storage warehouse",4.3,$$,TRUE
Seongsu,Cafe Onion,카페 어니언,cafe,37.5440,127.0570,"Wildly popular bakery-cafe in a renovated factory building",4.6,$$,TRUE
Seongsu,Seoul Forest,서울숲,park,37.5447,127.0374,"Large urban park perfect for picnics and relaxing away from the city buzz",4.7,$,TRUE
Seongsu,Seongsu Hangang Park,성수 한강공원,park,37.5340,127.0650,"Riverside park popular for cycling, picnics, and Han River sunsets",4.5,$,TRUE
Bukchon,Bukchon Hanok Village,북촌 한옥마을,landmark,37.5826,126.9830,"Most iconic traditional Korean neighborhood — 600-year-old hanok houses",4.5,$,TRUE
Bukchon,Gyeongbokgung Palace,경복궁,landmark,37.5796,126.9770,"The largest Joseon dynasty palace. Changing of the guard ceremony daily",4.7,$,TRUE
Bukchon,National Folk Museum,국립민속박물관,museum,37.5811,126.9796,"Free museum inside Gyeongbokgung covering Korean folk history",4.5,$,TRUE
Bukchon,Changdeokgung Palace,창덕궁,landmark,37.5792,126.9910,"UNESCO World Heritage palace with a beautiful secret garden",4.6,$$,TRUE
Insadong,Ssamziegil,쌈지길,shopping,37.5724,126.9868,"Unique courtyard shopping complex with indie brands and crafts",4.3,$$,TRUE
Insadong,Ikseon-dong Alley,익선동 골목,landmark,37.5744,126.9950,"Traditional hanok alleys transformed into trendy cafes and bars — very photogenic",4.4,$$,TRUE
Insadong,Tapgol Park,탑골공원,landmark,37.5718,126.9869,"Historic park with a 10-story pagoda — important independence movement site",4.2,$,FALSE
Itaewon,Itaewon Food Street,이태원 음식 거리,landmark,37.5340,126.9946,"Rows of restaurants serving cuisines from every corner of the world",4.1,$$,TRUE
Itaewon,Leeum Samsung Museum,리움미술관,museum,37.5385,126.9988,"World-class private art museum with Korean and international collections",4.7,$$,TRUE
Itaewon,Haebangchon,해방촌,neighborhood,37.5391,126.9837,"Hillside neighborhood with rooftop bars and multicultural food scene",4.4,$$,TRUE
Gangnam,COEX Mall,코엑스몰,shopping,37.5126,127.0594,"Massive underground mall with the famous Starfield Library inside",4.3,$$,TRUE
Gangnam,Gangnam Station,강남역,landmark,37.4979,127.0276,"One of Seoul's busiest intersections — underground shopping and dining",4.0,$$,TRUE
Gangnam,Apgujeong Rodeo Street,압구정 로데오,shopping,37.5270,127.0414,"High-fashion street with designer boutiques and K-beauty clinics",4.2,$$$,FALSE
Gangnam,SM Town,SM타운 코엑스,kpop,37.5113,127.0602,"K-pop entertainment complex with exhibitions and a store for SM artists",4.4,$$,TRUE
Euljiro,Euljiro 3-ga Alley,을지로3가 골목,landmark,37.5662,126.9910,"Hidden labyrinth of vintage bars and small craft workshops",4.4,$,TRUE
Euljiro,Sewoon Plaza,세운상가,landmark,37.5703,126.9937,"Iconic 1970s megastructure turned into a creative maker space and rooftop walkway",4.3,$,TRUE
Euljiro,Dongdaemun Design Plaza,DDP 동대문디자인플라자,landmark,37.5669,127.0095,"Zaha Hadid-designed futuristic building hosting design exhibitions and events",4.6,$,TRUE
Yeonnam,Gyeongui Line Forest Park,경의선 숲길 연남,park,37.5622,126.9244,"Linear greenway through the heart of Yeonnam — best for a peaceful afternoon walk",4.6,$,TRUE
